# DelveInfo
DelveInfo.CastingTime:					Zauberzeit: {0}
SummonAnimistPet.CheckBeginCast.GroundTargetNotInView:		Ihr könnt Euer Bodenziel nicht sehen.
SummonAnimistPet.CheckBeginCast.GroundTargetNotInSpellRange:	Ihr müsst ein näheres Bodenziel auswählen.

#TurretsRelease
TurretsRelease.CheckBeginCast.NoSelectedTarget:		Ihr könnt diesen Zauberspruch nur auf ein von Euch kontrolliertes Wesen anwenden.
TurretsRelease.CheckBeginCast.TargetTooFarAway:		Euer Ziel ist zu weit entfernt!

#PetSpellHandler
PetSpellHandler.CheckBeginCast.NoControlledBrainForCast:Ihr müsst ein Wesen kontrollieren, auf das Ihr den Zauberspruch anwenden könnt!

#SummonNecromancerPet
SummonNecromancerPet.CheckBeginCast.ShadeEffectIsNotNull:	Ihr seid bereits in Schattenform!
SummonNecromancerPet.DelveInfo.Function:			Funktion: Begleiterbeschwörung
SummonNecromancerPet.DelveInfo.Description:			Beschwört einen untoten Begleiter, der dem Zaubernden dient. Der Zaubernde wird in einen Schatten verwandelt und wirkt durch seinen Begleiter.
SummonNecromancerPet.DelveInfo.Target:				Ziel: {0}
SummonNecromancerPet.DelveInfo.Power:				Manakosten: {0}%
SummonNecromancerPet.DelveInfo.CastingTime:			Zauberzeit: {0}

#SavageEnduranceHeal
SavageEnduranceHeal.CheckBeginCast.InsuffiscientHealth:		Ihr seid nicht gesund genug umd dies zu machen!

#AblativeArmorSpellHandler
AblativeArmor.Target:			Euer Ablativ absorbiert {0} Schaden!
AblativeArmor.Attacker:			Ein Schutzfeld absorbiert {0} Schaden Eures Angriffs!

#Amnesia
Amnesia.MessageToTarget:	Eure Gedanken verwirren sich und Ihr vergesst, was Ihr machen wolltet!

# Petrify
Petrify.Target.Absorbs:		{0} ist versteinert und absorbiert {1} Schaden.
Petrify.Target.Resist:		{0} ist versteinert und immun gegen diesen Zauber.
Petrify.Self.Message:		{0} ist versteinert.
Petrify.Self.Absorb:		Ihr seid versteinert und absorbiert {0} Schaden.
Petrify.Self.Unpetrify:		Ihr werdet von eurer Versteinerung befreit.

# Damnation
Damnation.Self.Message:			Euer Ziel ist verdammt.
Damnation.Self.Message2:		Du weißt es noch nicht, aber du bist bereits tot!
Damnation.Target.Resist:		{0} ist verdammt und immun gegen diesen Zauber.
Damnation.Self.Absorb:			Ihr seid verdammt und absorbiert {0} Schaden!
Damnation.Target.Absorbs:		{0} ist verdammt und absorbiert {1} Schaden!
Damnation.Self.SpellAbsorb:		Eure Verdammnis lässt euch dank eurer Ausrüstung {0} Magieschaden absorbieren!
Damnation.Target.SpellAbsorbs:	Die Verdammnis von {0} lässt {1} Magieschaden dank seiner Ausrüstung absorbieren!
Damnation.Self.Resist:			Ihr seid verdammt und widersteht dem Zauber!
Damnation.Target.Resist:		{0} ist verdammt und widersteht dem Zauber!
Damnation.Kill.SelfHeal:		Die Leiche eures Feindes revitalisiert euch um {0} Lebenspunkte!
Damnation.Kill.DurationExtended:	Eure verdammte Existenz wird um {0} Sekunden verlängert, wenn ihr eine weitere Seele raubt, doch das Ende bleibt unausweichlich.
Damnation.Self.CannotBeHealed:	Ihr seid verdammt und könnt nicht geheilt werden!

# Adrenaline
Adrenaline.Target.Immune:		{0} ist im Kampffieber und widersteht dem Zauber vollständig!
Adrenaline.Target.Absorbs:		Euer Ziel absorbiert {0} Schadenspunkte des Angriffs!
Adrenaline.Self.Immune:			Euer Kampffieber schützt euch vor diesem Zauber!
Adrenaline.Self.Absorb:			Ihr absorbiert {0} Schadenspunkte des Zaubers!

# DebuffImmunity
DebuffImmunity.You.Resisted:			Ihr widersteht dem Effekt dank eurer Schwächungs‑Immunität!
DebuffImmunity.Target.Resisted:			{0} widersteht dem Effekt dank seiner Schwächungs‑Immunität!

# HealDebuff
HealDebuffSpellHandler.EffectStart.Target:		Die Wirksamkeit empfangener Heilungen wurde aufgrund von {0} verringert.
HealDebuffSpellHandler.EffectStart.Area:		Die Wirksamkeit der von {0} empfangenen Heilungen wurde aufgrund von {1} verringert.
HealDebuffSpellHandler.EffectExpires.Target:	Die Wirksamkeit empfangener Heilungen ist wieder normal.
HealDebuffSpellHandler.EffectExpires.Area:		Die Wirksamkeit der von {0} empfangenen Heilungen ist wieder normal.

# NecroSummonWeapon
Spells.NecroSumonWeap.Icebrand.You:				Ihr beschwört das Schwert Icebrand.
Spells.NecroSumonWeap.Icebrand.Target:			{0} beschwört das Schwert Icebrand.
Spells.NecroSumonWeap.Nethersbane.You:			Ihr beschwört das Schwert Nethersbane.
Spells.NecroSumonWeap.Nethersbane.Target:		{0} beschwört das Schwert Nethersbane.

# StyleHandler
StyleHandler.StyleNotFound:						Nahkampfstil nicht gefunden.
StyleHandler.UseStyle:							Verwendet den Stil {0} für eure Nahkampfangriffe.
StyleHandler.NeedsRequirement:					Benötigt {0}, um diesen Stil auszuführen.
StyleHandler.NeedsWeapon:						Ihr benötigt eine(n) {0}, um diesen Stil auszuführen.
StyleHandler.AllWeaponTypes:					Alle Waffentypen sind mit diesem Kampfstil kompatibel.
StyleHandler.UnknownWeaponType:					Benötigter Waffentyp unbekannt.
StyleHandler.StyleNotImplemented:				Dieser Stil ist noch nicht implementiert!
StyleHandler.Opening.DefensiveActionUsing:		eine defensive Aktion mit {0}
StyleHandler.Opening.DefensiveAction:			eine defensive Aktion
StyleHandler.Opening.Positional.Back:			dass ihr euch hinter dem Gegner befindet
StyleHandler.Opening.Positional.Side:			dass ihr euch seitlich zum Gegner befindet
StyleHandler.Opening.Positional.Front:			dass ihr euch vor dem Gegner befindet
StyleHandler.Opening.Positional.Specific:		eine spezifische Position relativ zum Gegner
StyleHandler.Opening.Default:					eine spezielle Eröffnungsbedingung
